Job_Roles,text,avg_exp,salary,locations,skills
Data Scientist,data scientist bigshyft hire rapido bengaluru hadoop statistical model deep learn python sql,9.5,3250000 - 4500000 ,Bengaluru,"Hadoop
Statistical Modelling
Deep Learning
Python
SQL"
Data Scientist,data scientist catalyst bengaluru hadoop statistical model deep learn python sql,8.5,Not disclosed,Bengaluru,"Hadoop
Statistical Modelling
Deep Learning
Python
SQL"
Data Scientist,data scientist bigshyft hire get park bengaluru hive data mine machine learn python,7.0,2250000 - 3000000 ,Bengaluru,"R
Hive
Data Mining
Machine Learning ML
Python"
Data Scientist,data scientist bion bengaluru hive data mine machine learn python,8.5,Not disclosed,Bengaluru,"R
Hive
Data Mining
Machine Learning ML
Python"
Data Scientist,data scientist bion bengaluru hive data mine machine learn python,8.0,Not disclosed,Bengaluru,"R
Hive
Data Mining
Machine Learning ML
Python"
Data Scientist,data scientist bion bengaluru hive data mine machine learn python,7.0,Not disclosed,Bengaluru,"R
Hive
Data Mining
Machine Learning ML
Python"
Data Scientist,data scientist change leaders bengaluru data science business intelligence sas data scientist data management tableau data analytics statistics,6.0,Not disclosed,Bengaluru,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
Data Scientist,data scientist novotree mind consult pvt ltd bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,7.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,4.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,5.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist bion bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,4.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,3.0,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,2.0,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,4.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist bion bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,4.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist catalyst bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,4.0,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist bigshyft hire noodle bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,1.5,700000 - 800000 ,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist lotpick consult service private limit bengaluru data science predictive model nlp sql pig hive data scientist artificial intelligence data management machine learn,7.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,data scientist change leaders consult bengaluru whitefield python developer nlg nlp stanford nlp cnn artificial intelligence sentiment analysis nlg model,10.0,2500000 - 3000000 ,Bengaluru(Whitefield),"Python Developer
NLG
NLP
Stanford NLP
CNN
Artificial Intelligence
Sentiment Analysis
NLG Model"
